activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	15195318	CHEMBL3413788	Inhibition of purified human Pank2 using d-[1-14C]pantothenate as substrate after 10 mins by radiochemical enzyme assay	B	CSc1cccc(NC(=O)CCc2c(C)nc3c4cccnc4nn3c2C)c1		CHEMBL3410246	=	IC50	nM	92.0	CHEMBL3407327	Homo sapiens	IC50	nM	92.0
	15195318	CHEMBL3413788	Inhibition of purified human Pank2 using d-[1-14C]pantothenate as substrate after 10 mins by radiochemical enzyme assay	B	CSc1cccc(NC(=O)CCc2c(C)nc3c4cccnc4nn3c2C)c1		CHEMBL3410246	=	IC50	nM	92.0	CHEMBL3407327	Homo sapiens	IC50	nM	92.0
