activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	18069864	CHEMBL4015088	Inhibition of human DGKbeta (1 to 804 residues) by ADP Glo HTS assay	B	O=C(c1cc([C@H]2CCCN2c2cc(F)cc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1)N1CCOCC1		CHEMBL4060768	>	IC50	nM	50000.0	CHEMBL4105755	Homo sapiens	IC50	uM	50.0
	18069864	CHEMBL4015088	Inhibition of human DGKbeta (1 to 804 residues) by ADP Glo HTS assay	B	O=C(c1cc([C@H]2CCCN2c2cc(F)cc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1)N1CCOCC1		CHEMBL4060768	>	IC50	nM	50000.0	CHEMBL4105755	Homo sapiens	IC50	uM	50.0
Not Active	18161870	CHEMBL4036000	Inhibition of human DGKbeta (1 to 804 residues) at 50 uM by ADP Glo HTS assay	B	CNC(=O)c1nc(-c2nc(-c3cnc4ccccn34)c(C)nc2N)n(C)n1		CHEMBL4072637		Inhibition	%		CHEMBL4105755	Homo sapiens	INH		
