activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
Active	18275700	CHEMBL4118660	Binding affinity to NAGK in human NCI-H23 cells at 1 uM by mass spectrometry based pull down assay	B	C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@H]45)CC3)cc2)ncc1Cl		CHEMBL4129274		Activity			CHEMBL4295978	Homo sapiens	Activity		
Active	18275700	CHEMBL4118660	Binding affinity to NAGK in human NCI-H23 cells at 1 uM by mass spectrometry based pull down assay	B	C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@H]45)CC3)cc2)ncc1Cl		CHEMBL4129274		Activity			CHEMBL4295978	Homo sapiens	Activity		
Active	18275888	CHEMBL4118848	Binding affinity to NAGK in human NCI-H358 cells at 1 uM by mass spectrometry based pull down assay	B	C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@H]45)CC3)cc2)ncc1Cl		CHEMBL4129274		Activity			CHEMBL4295978	Homo sapiens	Activity		
