activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	19107608	CHEMBL4369794	Binding affinity to His-tagged human MNK expressed in Escherichia coli BL21(DE3) in presence of ATP by 9F-NMR spectroscopy analysis	B	O=C(O)c1cc(C(F)(F)F)ccn1	Outside typical range	CHEMBL4457121	=	Kd	nM	900000.0	CHEMBL4523504	Homo sapiens	Kd	uM	900.0
	19107608	CHEMBL4369794	Binding affinity to His-tagged human MNK expressed in Escherichia coli BL21(DE3) in presence of ATP by 9F-NMR spectroscopy analysis	B	O=C(O)c1cc(C(F)(F)F)ccn1	Outside typical range	CHEMBL4457121	=	Kd	nM	900000.0	CHEMBL4523504	Homo sapiens	Kd	uM	900.0
	19107609	CHEMBL4369794	Binding affinity to His-tagged human MNK expressed in Escherichia coli BL21(DE3) in presence of ATP by 9F-NMR spectroscopy analysis	B	O=C(O)c1cccc(C(=O)N2CCCC2)n1		CHEMBL4435406	=	Kd	nM	80000.0	CHEMBL4523504	Homo sapiens	Kd	uM	80.0
