activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	16525474	CHEMBL3789703	Inhibition of flag-tagged recombinant PI4K2beta (unknown origin) transfected in HEK293T cells upto 20 uM preincubated for 15 mins followed by addition of cold ATP/gamma32P-ATP measured after 25 mins	B	COc1ccc(-c2sc(NC(=O)C3CCCC3)nc2C)cc1S(=O)(=O)Nc1ccc(O)cc1		CHEMBL3785311	<	Inhibition	%	50.0	CHEMBL3220	Homo sapiens	INH	%	50.0
	16525474	CHEMBL3789703	Inhibition of flag-tagged recombinant PI4K2beta (unknown origin) transfected in HEK293T cells upto 20 uM preincubated for 15 mins followed by addition of cold ATP/gamma32P-ATP measured after 25 mins	B	COc1ccc(-c2sc(NC(=O)C3CCCC3)nc2C)cc1S(=O)(=O)Nc1ccc(O)cc1		CHEMBL3785311	<	Inhibition	%	50.0	CHEMBL3220	Homo sapiens	INH	%	50.0
	16525475	CHEMBL3789703	Inhibition of flag-tagged recombinant PI4K2beta (unknown origin) transfected in HEK293T cells upto 20 uM preincubated for 15 mins followed by addition of cold ATP/gamma32P-ATP measured after 25 mins	B	COc1ccc(-c2sc(NC(=O)C(C)(C)C)nc2C)cc1S(=O)(=O)Nc1ccc(O)cc1		CHEMBL3786230	<	Inhibition	%	20.0	CHEMBL3220	Homo sapiens	INH	%	20.0
Not Active	18534490	CHEMBL4195914	Inhibition of recombinant human full length GST-tagged PI4K2beta expressed in insect cells at 10 uM	B	Cc1ccc(NC(=O)N2CCN(c3nc(N)nc4sc(-c5cccnc5)nc34)CC2)cc1		CHEMBL4206816		Inhibition	%		CHEMBL3220	Homo sapiens	INH		
Not Active	18534491	CHEMBL4195914	Inhibition of recombinant human full length GST-tagged PI4K2beta expressed in insect cells at 10 uM	B	COc1ccc(NC(=O)N2CCN(c3nc(N)nc4scnc34)CC2)cc1		CHEMBL4217096		Inhibition	%		CHEMBL3220	Homo sapiens	INH		
