protein_id	Entry Name (UniProt)
CHEMBL5331	MERTK_HUMAN
CHEMBL3542	NIM1_HUMAN
CHEMBL5932	LIMK2_HUMAN
CHEMBL4226	CLK3_HUMAN
CHEMBL3835	NEK2_HUMAN
CHEMBL3530	MP2K7_HUMAN
CHEMBL3529	IKKE_HUMAN
CHEMBL5856	CDK15_HUMAN
CHEMBL5260	TNI3K_HUMAN
CHEMBL2964	MP2K2_HUMAN
CHEMBL3421524	F261_HUMAN
CHEMBL4938	KAD2_HUMAN
CHEMBL5606	STK11_HUMAN
CHEMBL4175	MATK_HUMAN
CHEMBL1075165	PK3C3_HUMAN
CHEMBL6030	E2AK3_HUMAN
CHEMBL3476	IKKA_HUMAN
CHEMBL5654	MYO3B_HUMAN
CHEMBL4523432	LMTK3_HUMAN
CHEMBL4045	AAPK1_HUMAN
CHEMBL3553	TYK2_HUMAN
CHEMBL4376	DYRK2_HUMAN
CHEMBL3616	KPCL_HUMAN
CHEMBL3667	PI4KA_HUMAN
CHEMBL6082	SIK1_HUMAN
CHEMBL3111	KS6B2_HUMAN
CHEMBL6003	TSSK1_HUMAN
CHEMBL3830	AAK1_HUMAN
CHEMBL4896	TOPK_HUMAN
CHEMBL4224	CLK1_HUMAN
CHEMBL5679	NEK3_HUMAN
CHEMBL5165	IP3KB_HUMAN
CHEMBL6055	WNK3_HUMAN
CHEMBL2007	PGFRA_HUMAN
CHEMBL1908383	PI51C_HUMAN
CHEMBL1938215	KSR1_HUMAN
CHEMBL5668	SRPK2_HUMAN
CHEMBL1795192	CDK13_HUMAN
CHEMBL2068	EPHA2_HUMAN
CHEMBL4105826	GWL_HUMAN
CHEMBL5861	GRK4_HUMAN
CHEMBL4574	BRSK2_HUMAN
CHEMBL4246	TEC_HUMAN
CHEMBL1163124	M3K13_HUMAN
CHEMBL4578	MELK_HUMAN
CHEMBL3973	FGFR4_HUMAN
CHEMBL4601	PTK6_HUMAN
CHEMBL5615	MRCKG_HUMAN
CHEMBL5275	BMR1A_HUMAN
CHEMBL3130	PK3CD_HUMAN
CHEMBL5256	KKCC1_HUMAN
CHEMBL1075102	P3C2A_HUMAN
CHEMBL4079	ARBK1_HUMAN
CHEMBL3611965	SMS1_HUMAN
CHEMBL1795194	PI42A_HUMAN
CHEMBL4523488	IP6K2_HUMAN
CHEMBL2640	HXK2_HUMAN
CHEMBL4105787	DGKA_HUMAN
CHEMBL5407	PIM3_HUMAN
CHEMBL5358	E2AK4_HUMAN
CHEMBL3125	KS6A4_HUMAN
CHEMBL1795198	STRAA_HUMAN
CHEMBL5550	COQ8A_HUMAN
CHEMBL3589	ADK_HUMAN
CHEMBL5818	PRKX_HUMAN
CHEMBL4355	GAK_HUMAN
CHEMBL2996	KPCD_HUMAN
CHEMBL4487	PAK2_HUMAN
CHEMBL1163117	CDKL3_HUMAN
CHEMBL2708	M3K11_HUMAN
CHEMBL1075166	ARBK2_HUMAN
CHEMBL5552	STK25_HUMAN
CHEMBL5364	NLK_HUMAN
CHEMBL1075181	PDXK_HUMAN
CHEMBL4523417	TRIB2_HUMAN
CHEMBL3627583	KSR2_HUMAN
CHEMBL5784	NUAK1_HUMAN
CHEMBL6166	M4K4_HUMAN
CHEMBL1163112	CDKL5_HUMAN
CHEMBL1957	IGF1R_HUMAN
CHEMBL4627	MYLK3_HUMAN
CHEMBL2896	KGP2_HUMAN
CHEMBL2428	MYLK_HUMAN
CHEMBL3231	ROCK1_HUMAN
CHEMBL4267	TGFR2_HUMAN
CHEMBL5975	RIOK1_HUMAN
CHEMBL5047	ULK3_HUMAN
CHEMBL4040	MK01_HUMAN
CHEMBL6054	PASK_HUMAN
CHEMBL3291	PFKAM_HUMAN
CHEMBL4576	HIPK2_HUMAN
CHEMBL1824	ERBB2_HUMAN
CHEMBL4600	PAK1_HUMAN
CHEMBL2897	MP2K4_HUMAN
CHEMBL5082	STK24_HUMAN
CHEMBL2598	KPCI_HUMAN
CHEMBL4527	TNIK_HUMAN
CHEMBL5819	NEK4_HUMAN
CHEMBL4898	NTRK2_HUMAN
CHEMBL4630	CHK1_HUMAN
CHEMBL4523418	IP6K1_HUMAN
CHEMBL4849	NEK7_HUMAN
CHEMBL4141	PDK4_HUMAN
CHEMBL5121	MK06_HUMAN
CHEMBL5247	ILK_HUMAN
CHEMBL5122	DDR2_HUMAN
CHEMBL2886	PGK1_HUMAN
CHEMBL2073	YES_HUMAN
CHEMBL5838	ERBB3_HUMAN
CHEMBL4897	PLK3_HUMAN
CHEMBL4482	PAK4_HUMAN
CHEMBL4105932	ERN2_HUMAN
CHEMBL4070	CSK22_HUMAN
CHEMBL1795195	SMG1_HUMAN
CHEMBL3797	ATM_HUMAN
CHEMBL5147	EPHB4_HUMAN
CHEMBL2508	CDK6_HUMAN
CHEMBL5261	TAOK1_HUMAN
CHEMBL2189144	PI3R4_HUMAN
CHEMBL1988	ANPRA_HUMAN
CHEMBL3217390	TAF1_HUMAN
CHEMBL5081	IRAK3_HUMAN
CHEMBL1741200	HKDC1_HUMAN
CHEMBL1075173	WNK1_HUMAN
CHEMBL5316	CDK18_HUMAN
CHEMBL3112385	CHKB_HUMAN
CHEMBL4375	SRPK1_HUMAN
CHEMBL5408	TBK1_HUMAN
CHEMBL2873	M3K10_HUMAN
CHEMBL2999	PAK3_HUMAN
CHEMBL2689	RON_HUMAN
CHEMBL4105790	PAPS2_HUMAN
CHEMBL4454	FGR_HUMAN
CHEMBL4989	KGUA_HUMAN
